n,original,reconstructed,freq
71,714,707.871954429117,20.58854367543172
72,715,705.8554790508955,20.58854367543172
73,715,713.455620162625,20.58854367543172
74,715,719.7254933285208,20.58854367543172
75,715,719.8759012515952,20.58854367543172
76,714,715.8651769873303,20.58854367543172
77,715,710.0437601262518,20.58854367543172
78,708,704.8528528790966,20.58854367543172
79,707,704.733143283507,20.58854367543172
80,708,710.881213057383,20.58854367543172
81,707,715.4866058109305,20.58854367543172
82,707,709.4721519428462,20.58854367543172
83,709,697.7155947473339,20.58854367543172
84,708,697.4220948469931,20.58854367543172
85,708,714.2621865919443,20.58854367543172
86,707,727.5377457377217,20.58854367543172
87,708,713.2735854147928,20.58854367543172
88,708,682.8948235207382,20.58854367543172
89,708,681.098616363964,20.58854367543172
90,707,728.3061262860556,20.58854367543172
91,708,770.638464817708,20.58854367543172
92,708,710.9097039375473,20.58854367543172
93,707,506.34537317778717,20.58854367543172
94,26,230.11058116793717,20.58854367543172
95,26,19.364349609107798,20.58854367543172
96,20,-44.65990486187546,20.58854367543172
97,20,-0.2938263592717412,20.58854367543172
98,20,50.04442814206198,20.58854367543172
99,20,46.080692340952055,20.58854367543172
100,20,10.845048844925943,20.58854367543172
101,20,-3.1497241654775134,20.58854367543172
102,20,16.118769943898666,20.58854367543172
103,20,36.0167049272756,20.58854367543172
104,20,30.477059953601223,20.58854367543172
105,20,12.030486881061618,20.58854367543172
106,20,7.924474623198214,20.58854367543172
107,20,21.196554079305557,20.58854367543172
108,20,30.557916126550058,20.58854367543172
109,20,23.404285237612175,20.58854367543172
110,20,12.254126044316829,20.58854367543172
111,20,13.848415434023744,20.58854367543172
112,20,24.656892642582914,20.58854367543172
113,19,28.361602639560022,20.58854367543172
114,27,21.665962486289384,20.58854367543172
115,26,18.549650507318553,20.58854367543172
116,26,27.116039648508362,20.58854367543172
117,27,35.415957654717786,20.58854367543172
118,26,29.432403603944753,20.58854367543172
119,26,16.671591183589655,20.58854367543172
120,26,17.450057374930825,20.58854367543172
121,26,33.42787204338226,20.58854367543172
122,26,40.912817603079716,20.58854367543172
123,26,24.55133735550329,20.58854367543172
124,26,5.251007847074827,20.58854367543172
125,26,15.72408630583575,20.58854367543172
126,26,49.2950846407857,20.58854367543172
127,27,56.18058833277557,20.58854367543172
128,26,8.929594608487504,20.58854367543172
129,26,-37.95355873895046,20.58854367543172
130,26,19.305322810112266,20.58854367543172
131,26,226.6544081867387,20.58854367543172
132,707,507.0828049368857,20.58854367543172
133,715,718.6683604882194,20.58854367543172
134,715,780.6042721007974,20.58854367543172
135,715,734.7850845663957,20.58854367543172
136,714,684.62475255565,20.58854367543172
137,714,688.3940635367528,20.58854367543172
138,715,722.5007739911941,20.58854367543172
139,714,736.5638692647002,20.58854367543172
140,714,719.2341557240206,20.58854367543172
141,714,700.1496277145081,20.58854367543172
142,714,703.2063795186716,20.58854367543172
143,715,719.1020437732255,20.58854367543172
144,715,725.4408700955407,20.58854367543172
145,715,717.6278473888888,20.58854367543172
146,715,709.2231898286274,20.58854367543172
147,714,709.4039007575279,20.58854367543172
148,714,712.9748295191088,20.58854367543172
149,708,712.5509929486045,20.58854367543172
150,707,709.4640456985084,20.58854367543172
151,707,707.8677185429116,20.58854367543172
152,708,706.3069939374355,20.58854367543172
153,707,702.879622798106,20.58854367543172
154,708,703.2074089133372,20.58854367543172
155,708,712.3890236872862,20.58854367543172
156,708,720.5468676163815,20.58854367543172
157,707,710.7321369763458,20.58854367543172
158,708,688.0076045135354,20.58854367543172
159,707,686.3674715154259,20.58854367543172
160,707,726.0596682796087,20.58854367543172
161,708,763.6629953407415,20.58854367543172
162,708,708.5454079436155,20.58854367543172
163,707,511.7316965272159,20.58854367543172
164,27,236.35828544968606,20.58854367543172
165,26,19.675849005226542,20.58854367543172
166,26,-47.43886490007059,20.58854367543172
167,26,1.7954695217644039,20.58854367543172
168,20,57.96257619724807,20.58854367543172
169,19,51.48321428870372,20.58854367543172
170,20,7.319409232966718,20.58854367543172
171,20,-10.783671910703852,20.58854367543172
172,20,14.512671758881087,20.58854367543172
173,20,42.41998035441789,20.58854367543172
174,20,36.08475326203045,20.58854367543172
175,20,9.234675193528027,20.58854367543172
176,20,0.6345443156604889,20.58854367543172
177,20,19.406208055842143,20.58854367543172
178,20,36.648028808437495,20.58854367543172
179,20,28.98244624257856,20.58854367543172
180,20,9.771185146900155,20.58854367543172
181,20,6.869450684575917,20.58854367543172
182,20,22.613242436952948,20.58854367543172
183,20,33.17474954922292,20.58854367543172
184,20,24.952405104005912,20.58854367543172
185,26,13.437553670476365,20.58854367543172
186,26,18.290094212524828,20.58854367543172
187,25,33.22128028734197,20.58854367543172
188,26,35.86688573691429,20.58854367543172
189,26,22.525653385304324,20.58854367543172
190,27,14.72223353704851,20.58854367543172
191,26,26.11719783988345,20.58854367543172
192,26,39.381966911296125,20.58854367543172
193,26,31.166332905890886,20.58854367543172
194,26,11.024866577081964,20.58854367543172
195,26,12.613150010508368,20.58854367543172
196,26,41.28833960565616,20.58854367543172
197,26,53.96126743381162,20.58854367543172
198,26,15.416168174873398,20.58854367543172
199,27,-31.462300100923574,20.58854367543172
200,26,17.26280075251928,20.58854367543172
201,26,218.7564129388538,20.58854367543172
202,707,502.5923474509646,20.58854367543172
203,707,720.1570340681741,20.58854367543172
204,708,780.9142210424501,20.58854367543172
