n,original,reconstructed,freq
321,19,-79.34762640504982,17.93
322,19,-80.05118521200808,17.93
323,19,-80.56835813755134,17.93
324,19,-80.89738791050844,17.93
325,19,-81.03696353489171,17.93
326,19,-80.98622474891066,17.93
327,19,-80.74476539785668,17.93
328,19,-80.31263570957725,17.93
329,19,-79.69034346393724,17.93
330,133,-78.87885405037156,17.93
331,133,-77.8795894103616,17.93
332,134,-76.69442586441107,17.93
333,133,-75.32569082584752,17.93
334,133,-73.77615840652854,17.93
335,134,-72.04904392227675,17.93
336,134,-70.147997308603,17.93
337,133,-68.07709545998945,17.93
338,134,-65.84083350869466,17.93
339,134,-63.44411506169552,17.93
340,133,-60.89224141699794,17.93
341,134,-58.190899783116514,17.93
342,133,-55.346150528039914,17.93
343,134,-52.36441348645659,17.93
344,133,-49.25245335640601,17.93
345,133,-46.017364218842424,17.93
346,133,-42.666553215840324,17.93
347,133,-39.207723425330514,17.93
348,133,-35.648855972327716,17.93
349,133,-31.998191418586565,17.93
350,133,-28.264210474501567,17.93
351,134,-24.455614078840103,17.93
352,133,-20.58130289356271,17.93
353,134,-16.65035626253703,17.93
354,133,-12.672010684386382,17.93
355,134,-8.655637851028386,17.93
356,133,-4.610722304647507,17.93
357,305,-0.546838766908153,17.93
358,305,3.5263708048553695,17.93
359,306,7.599220378937085,17.93
360,125,11.66200317184906,17.93
361,126,15.705015075480947,17.93
362,125,19.718578131722754,17.93
363,126,23.693063997197488,17.93
364,126,27.618917340647652,17.93
365,125,31.48667911555599,17.93
366,125,35.28700965076127,17.93
367,125,39.010711502150386,17.93
368,126,42.64875200897165,17.93
369,125,46.192285498916306,17.93
370,126,49.63267508685834,17.93
371,125,52.96151401302255,17.93
372,125,56.17064646736601,17.93
373,125,59.25218784810852,17.93
374,126,62.19854440362695,17.93
375,126,65.00243220833754,17.93
376,125,67.65689542472242,17.93
377,125,70.1553238053125,17.93
378,125,72.4914693902092,17.93
379,125,74.65946235761383,17.93
380,125,76.65382598682669,17.93
381,126,78.4694906952762,17.93
382,125,80.10180711333554,17.93
383,126,81.54655816297482,17.93
384,125,82.79997010867686,17.93
385,126,83.85872255150556,17.93
386,126,84.71995733975548,17.93
387,125,85.38128637221924,17.93
388,306,85.84079827278406,17.93
389,306,86.09706391779851,17.93
390,305,86.14914080043347,17.93
391,306,85.99657621908791,17.93
392,306,85.63940927975283,17.93
393,306,85.07817170514221,17.93
394,305,84.31388744631637,17.93
395,306,83.34807109545652,17.93
396,306,82.18272510139222,17.93
397,306,80.82033579242658,17.93
398,306,79.2638682139428,17.93
399,305,77.51675979120043,17.93
400,306,75.58291283063458,17.93
401,306,73.46668587584918,17.93
402,306,71.1728839373376,17.93
403,306,68.70674761776549,17.93
404,305,66.07394115740257,17.93
405,305,63.280539426987175,17.93
406,305,60.33301389794134,17.93
407,305,57.238217622419526,17.93
408,306,54.00336925816406,17.93
409,305,50.63603617554794,17.93
410,306,47.144116686506116,17.93
411,305,43.53582143728262,17.93
412,305,39.81965400904759,17.93
413,305,36.00439077246082,17.93
414,306,32.09906004416964,17.93
415,305,28.11292059502711,17.93
416,305,24.055439561492975,17.93
417,126,19.936269813234023,17.93
418,20,15.765226831365775,17.93
419,19,11.552265153071316,17.93
420,19,7.307454439491991,17.93
421,19,3.040955224805046,17.93
422,18,-1.2370055947175425,17.93
423,18,-5.516159472137818,17.93
424,19,-9.786221061647048,17.93
425,19,-14.036913150162276,17.93
426,19,-18.257991607864124,17.93
427,19,-22.43927029666972,17.93
428,19,-26.570645875639862,17.93
429,19,-30.642122442472843,17.93
430,19,-34.643835950543306,17.93
431,19,-38.56607834139796,17.93
432,19,-42.39932133322373,17.93
433,19,-46.13423980655365,17.93
434,19,-49.76173472937302,17.93
435,19,-53.27295556482791,17.93
436,19,-56.659322105920154,17.93
437,19,-59.91254568289313,17.93
438,20,-63.02464969046983,17.93
439,19,-65.98798938369197,17.93
440,19,-68.79527089282763,17.93
441,20,-71.43956940965582,17.93
442,19,-73.91434649939931,17.93
443,19,-76.21346649465409,17.93
444,19,-78.3312119298531,17.93
445,19,-80.26229797709442,17.93
446,19,-82.00188584655956,17.93
447,18,-83.54559511723338,17.93
448,20,-84.8895149662143,17.93
449,19,-86.03021426756116,17.93
450,19,-86.9647505343556,17.93
451,19,-87.69067768046197,17.93
452,133,-88.20605258133004,17.93
453,134,-88.50944041610475,17.93
454,133,-88.59991877627536,17.93
455,134,-88.47708052910212,17.93
456,134,-88.14103542710144,17.93
457,134,-87.59241045793536,17.93
458,133,-86.83234893213725,17.93
459,133,-85.8625083092009,17.93
460,134,-84.68505676565904,17.93
461,133,-83.30266851187051,17.93
462,134,-81.71851786731864,17.93
463,134,-79.9362721072843,17.93
464,133,-77.96008309679188,17.93
465,133,-75.79457773072626,17.93
466,134,-73.44484720197599,17.93
467,133,-70.91643512236503,17.93
468,134,-68.21532452398627,17.93
469,134,-65.3479237713359,17.93
470,134,-62.32105141736313,17.93
471,134,-59.14192003918694,17.93
472,134,-55.818119091784816,17.93
473,134,-52.35759682041912,17.93
474,133,-48.76864127493341,17.93
475,134,-45.059860471310955,17.93
476,134,-41.240161748041686,17.93
477,133,-37.318730366882356,17.93
478,134,-33.30500740951384,17.93
479,134,-29.20866702339436,17.93
480,133,-25.039593071774,17.93
481,125,-20.807855244368376,17.93
482,125,-16.52368468658499,17.93
483,125,-12.197449206451362,17.93
484,126,-7.8396281195045425,17.93
485,125,-3.4607867928659686,17.93
486,125,0.9284490494602821,17.93
487,125,5.317419197364114,17.93
488,125,9.69545493827108,17.93
489,126,14.05190509008368,17.93
490,125,18.3761620196598,17.93
491,126,22.65768758302349,17.93
492,125,26.88603892361918,17.93
493,125,31.050894065192796,17.93
494,126,35.14207723631228,17.93
495,125,39.149583864124416,17.93
496,125,43.06360517568385,17.93
497,125,46.874552346081586,17.93
498,125,50.573080133643145,17.93
499,126,54.15010994365591,17.93
500,126,57.59685226342307,17.93
501,125,60.90482841291813,17.93
502,126,64.06589155693355,17.93
503,125,67.07224692636768,17.93
504,125,69.91647119817969,17.93
505,125,72.59153098554991,17.93
506,125,75.09080039191814,17.93
507,125,77.4080775848161,17.93
508,125,79.53760034777457,17.93
509,306,81.47406057104635,17.93
510,306,83.21261764445332,17.93
511,306,84.74891071832215,17.93
512,306,86.0790698012175,17.93
513,306,87.19972566600713,17.93
514,306,88.10801853869015,17.93
515,306,88.80160554738389,17.93
516,306,89.27866691188886,17.93
517,306,89.53791085732402,17.93
518,306,89.57857723844525,17.93
519,306,89.40043986441393,17.93
520,306,89.00380751696616,17.93
521,306,88.3895236581387,17.93
522,305,87.55896482692444,17.93
523,306,86.5140377274535,17.93
524,306,85.25717501451568,17.93
525,306,83.79132978544865,17.93
526,306,82.11996879060734,17.93
527,306,80.24706437779233,17.93
528,306,78.17708518914566,17.93
529,306,75.91498563210777,17.93
530,305,73.46619414906783,17.93
531,306,70.83660031331807,17.93
532,306,68.0325407818382,17.93
533,306,65.06078413827844,17.93
534,306,61.92851466227295,17.93
535,306,58.643315063893276,17.93
536,306,55.21314822463569,17.93
537,126,51.646337988821806,17.93
538,125,47.95154905167189,17.93
539,125,44.13776599257808,17.93
540,19,40.21427150425754,17.93
541,19,36.190623870491976,17.93
542,19,32.07663374706325,17.93
543,19,27.882340302261508,17.93
544,19,23.617986774974785,17.93
545,19,19.29399550985828,17.93
546,19,14.920942530427673,17.93
547,19,10.50953171211663,17.93
548,19,6.070568618384319,17.93
549,19,1.6149340638495122,17.93
550,20,-2.8464425308383845,17.93
551,19,-7.302609927105155,17.93
552,19,-11.742621933833068,17.93
553,19,-16.15556428406239,17.93
554,19,-20.530581456966242,17.93
555,19,-24.856903379122443,17.93
556,20,-29.12387193934012,17.93
557,19,-33.32096725169303,17.93
558,20,-37.437833601970546,17.93
559,19,-41.464305013471716,17.93
560,19,-45.39043036894544,17.93
561,19,-49.20649802651033,17.93
562,19,-52.903059868575035,17.93
563,19,-56.470954724115465,17.93
564,19,-59.901331106153535,17.93
565,19,-63.185669207908965,17.93
566,20,-66.31580210287017,17.93
567,19,-69.28393609593415,17.93
568,19,-72.08267017480834,17.93
569,19,-74.70501451303085,17.93
570,19,-77.14440797825577,17.93
571,19,-79.39473460185431,17.93
572,134,-81.45033896839767,17.93
573,133,-83.306040486207,17.93
574,133,-84.95714650287397,17.93
575,133,-86.39946423246361,17.93
576,133,-87.62931146400612,17.93
577,133,-88.64352602385306,17.93
578,134,-89.43947396751817,17.93
579,134,-90.01505647972417,17.93
580,133,-90.36871546453823,17.93
581,134,-90.49943781068568,17.93
582,133,-90.40675832037707,17.93
583,134,-90.09076129326428,17.93
584,133,-89.55208076044092,17.93
585,134,-88.79189936672157,17.93
586,134,-87.81194590275864,17.93
587,134,-86.61449149187975,17.93
588,134,-85.20234443984359,17.93
589,134,-83.57884375900986,17.93
590,133,-81.7478513816919,17.93
591,133,-79.71374308069896,17.93
592,134,-77.4813981182729,17.93
593,134,-75.05618764777272,17.93
594,134,-72.44396189555025,17.93
595,134,-69.65103615348823,17.93
596,134,-66.68417561562373,17.93
597,134,-63.5505790951556,17.93
598,133,-60.257861660921634,17.93
599,134,-56.81403623512329,17.93
600,134,-53.227494196670946,17.93
601,19,-49.506985037006416,17.93
